station_id,population_density
1,13270.643918844045
2,5756.949930681196
3,9072.008977653553
4,9051.87429137579
5,4121.202015877968
6,14531.828953746362
7,4074.578950267611
8,13480.731196865328
9,13270.643918844047
10,7472.174923107663
11,6361.432379308153
12,6361.432379308153
13,5709.483831241885
14,6125.041391215003
15,6406.281838942417
16,13270.643918844047
17,14037.511203457445
18,6511.6894630957495
19,13270.643918844047
20,3685.242394139388
21,3238.3908848620094
22,6551.0094984758425
23,4879.465821675949
24,8857.564278995736
25,9015.017480774475
26,9248.051112104247
27,9248.051112104247
28,6772.082012533136
